ID,ECO Number,Title,State_x,Task Name,State_y
8,ECO_8,Mechanical Engineering ECO 8,Released,Task 8,Implemented
20,ECO_20,Mechanical Engineering ECO 20,Released,Task 20,Implemented
42,ECO_42,Mechanical Engineering ECO 42,Released,Task 42,Implemented
50,ECO_50,Mechanical Engineering ECO 50,Released,Task 50,Implemented
63,ECO_63,Mechanical Engineering ECO 63,Released,Task 63,Implemented
78,ECO_78,Mechanical Engineering ECO 78,Released,Task 78,Implemented
102,ECO_102,Mechanical Engineering ECO 102,Released,Task 102,Implemented
124,ECO_124,Mechanical Engineering ECO 124,Released,Task 124,Implemented
142,ECO_142,Mechanical Engineering ECO 142,Released,Task 142,Implemented
143,ECO_143,Mechanical Engineering ECO 143,Released,Task 143,Implemented
160,ECO_160,Mechanical Engineering ECO 160,Released,Task 160,Implemented
162,ECO_162,Mechanical Engineering ECO 162,Released,Task 162,Implemented
167,ECO_167,Mechanical Engineering ECO 167,Released,Task 167,Implemented
172,ECO_172,Mechanical Engineering ECO 172,Released,Task 172,Implemented
184,ECO_184,Mechanical Engineering ECO 184,Released,Task 184,Implemented
198,ECO_198,Mechanical Engineering ECO 198,Released,Task 198,Implemented
201,ECO_201,Mechanical Engineering ECO 201,Released,Task 201,Implemented
220,ECO_220,Mechanical Engineering ECO 220,Released,Task 220,Implemented
237,ECO_237,Mechanical Engineering ECO 237,Released,Task 237,Implemented
261,ECO_261,Mechanical Engineering ECO 261,Released,Task 261,Implemented
269,ECO_269,Mechanical Engineering ECO 269,Released,Task 269,Implemented
293,ECO_293,Mechanical Engineering ECO 293,Released,Task 293,Implemented
302,ECO_302,Mechanical Engineering ECO 302,Released,Task 302,Implemented
314,ECO_314,Mechanical Engineering ECO 314,Released,Task 314,Implemented
316,ECO_316,Mechanical Engineering ECO 316,Released,Task 316,Implemented
340,ECO_340,Mechanical Engineering ECO 340,Released,Task 340,Implemented
341,ECO_341,Mechanical Engineering ECO 341,Released,Task 341,Implemented
351,ECO_351,Mechanical Engineering ECO 351,Released,Task 351,Implemented
363,ECO_363,Mechanical Engineering ECO 363,Released,Task 363,Implemented
364,ECO_364,Mechanical Engineering ECO 364,Released,Task 364,Implemented
390,ECO_390,Mechanical Engineering ECO 390,Released,Task 390,Implemented
404,ECO_404,Mechanical Engineering ECO 404,Released,Task 404,Implemented
419,ECO_419,Mechanical Engineering ECO 419,Released,Task 419,Implemented
